contrato_id,tipo_contrato,texto_clausula,tipo_clausula,es_abusiva,severidad,articulo_violado,descripcion_riesgo,pais
REF-0136,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. salvo acuerdo expreso en contrario.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
REF-0137,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. segun buena fe contractual.,alcance,0,bajo,,Prestacion determinada,Peru
REF-0138,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. con notificacion escrita previa.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
REF-0139,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. respetando la normativa peruana vigente.,alcance,0,bajo,,Prestacion determinada,Espana
REF-0140,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. con notificacion escrita previa.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Mexico
REF-0141,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. segun buena fe contractual.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Colombia
REF-0142,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. segun buena fe contractual.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Colombia
REF-0143,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. con notificacion escrita previa.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Peru
REF-0144,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. previa coordinacion entre las partes.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Mexico
REF-0145,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. con notificacion escrita previa.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Chile
REF-0146,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. con notificacion escrita previa.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Mexico
REF-0147,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. con notificacion escrita previa.,alcance,0,bajo,,Prestacion determinada,Colombia
REF-0148,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. con notificacion escrita previa.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Colombia
REF-0149,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. segun buena fe contractual.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Mexico
REF-0150,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. salvo acuerdo expreso en contrario.,alcance,0,bajo,,Prestacion determinada,Chile
REF-0151,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. salvo acuerdo expreso en contrario.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Colombia
REF-0152,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. con notificacion escrita previa.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Chile
REF-0153,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. con notificacion escrita previa.,alcance,0,bajo,,Prestacion determinada,Mexico
REF-0154,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. respetando la normativa peruana vigente.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Peru
REF-0155,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. respetando la normativa peruana vigente.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Espana
REF-0156,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. previa coordinacion entre las partes.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Colombia
REF-0157,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. segun buena fe contractual.,alcance,0,bajo,,Prestacion determinada,Colombia
REF-0158,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. previa coordinacion entre las partes.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Colombia
REF-0159,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. segun buena fe contractual.,alcance,0,bajo,,Prestacion determinada,Espana
REF-0160,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. respetando la normativa peruana vigente.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Colombia
REF-0161,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. previa coordinacion entre las partes.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Espana
REF-0162,servicios,El proveedor prestara servicios de soporte y mantenimiento segun el cronograma pactado. salvo acuerdo expreso en contrario.,alcance,0,bajo,,Prestacion determinada,Espana
REF-0163,servicios,"Toda idea, documento, mejora o conocimiento previo del proveedor pasara automaticamente al cliente sin pago adicional. respetando la normativa peruana vigente.",propiedad_intelectual,1,alto,Dec. Leg. 822,Cesion total de propiedad intelectual sin delimitacion,Peru
REF-0164,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. salvo acuerdo expreso en contrario.,datos_personales,0,bajo,,Tratamiento acotado de datos,Peru
REF-0165,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. previa coordinacion entre las partes.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Chile
REF-0166,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. salvo acuerdo expreso en contrario.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Peru
REF-0167,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. respetando la normativa peruana vigente.,datos_personales,0,bajo,,Tratamiento acotado de datos,Espana
REF-0168,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. segun buena fe contractual.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Colombia
REF-0169,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. respetando la normativa peruana vigente.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Mexico
REF-0170,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. salvo acuerdo expreso en contrario.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Colombia
REF-0171,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. con notificacion escrita previa.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Chile
REF-0172,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. salvo acuerdo expreso en contrario.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Chile
REF-0173,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. previa coordinacion entre las partes.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Colombia
REF-0174,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. previa coordinacion entre las partes.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Peru
REF-0175,servicios,"El cliente podra variar unilateralmente el alcance, plazo y precio del servicio sin acuerdo del proveedor. respetando la normativa peruana vigente.",modificacion_unilateral,1,critico,Art. 1354 CC,Desequilibrio contractual por modificacion unilateral,Chile
REF-0176,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. previa coordinacion entre las partes.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Espana
REF-0177,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. respetando la normativa peruana vigente.,datos_personales,0,bajo,,Tratamiento acotado de datos,Mexico
REF-0178,servicios,La informacion reservada podra divulgarse a filiales y consultores con medidas de seguridad equivalentes. salvo acuerdo expreso en contrario.,confidencialidad,0,medio,,Divulgacion controlada con salvaguardas,Chile
REF-0179,servicios,Las partes acudiran a arbitraje institucional en Lima antes de iniciar acciones judiciales. salvo acuerdo expreso en contrario.,arbitraje,0,medio,,Arbitraje valido si es equilibrado,Chile
REF-0180,servicios,El proveedor tratara datos personales solo para ejecutar el servicio y conforme a la ley peruana. segun buena fe contractual.,datos_personales,0,bajo,,Tratamiento acotado de datos,Colombia
REF-0181,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. previa coordinacion entre las partes.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Colombia
REF-0182,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. con notificacion escrita previa.,precio,0,bajo,,Precio determinado,Colombia
REF-0183,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. con notificacion escrita previa.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Chile
REF-0184,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. segun buena fe contractual.,precio,0,bajo,,Precio determinado,Chile
REF-0185,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. previa coordinacion entre las partes.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Peru
REF-0186,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. salvo acuerdo expreso en contrario.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0187,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. salvo acuerdo expreso en contrario.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Mexico
REF-0188,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. con notificacion escrita previa.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Chile
REF-0189,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. segun buena fe contractual.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Peru
REF-0190,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. con notificacion escrita previa.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Chile
REF-0191,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. previa coordinacion entre las partes.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Mexico
REF-0192,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. previa coordinacion entre las partes.,precio,0,bajo,,Precio determinado,Chile
REF-0193,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. salvo acuerdo expreso en contrario.,precio,0,bajo,,Precio determinado,Chile
REF-0194,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. previa coordinacion entre las partes.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0195,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. respetando la normativa peruana vigente.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Mexico
REF-0196,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. previa coordinacion entre las partes.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Mexico
REF-0197,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. salvo acuerdo expreso en contrario.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Chile
REF-0198,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. salvo acuerdo expreso en contrario.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Mexico
REF-0199,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. con notificacion escrita previa.,entrega,0,bajo,,Obligacion de entrega determinada,Colombia
REF-0200,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. salvo acuerdo expreso en contrario.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Chile
REF-0201,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. salvo acuerdo expreso en contrario.,entrega,0,bajo,,Obligacion de entrega determinada,Peru
REF-0202,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. respetando la normativa peruana vigente.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Chile
REF-0203,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. respetando la normativa peruana vigente.,entrega,0,bajo,,Obligacion de entrega determinada,Colombia
REF-0204,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. segun buena fe contractual.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Chile
REF-0205,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. con notificacion escrita previa.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Mexico
REF-0206,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. con notificacion escrita previa.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Chile
REF-0207,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. salvo acuerdo expreso en contrario.,precio,0,bajo,,Precio determinado,Mexico
REF-0208,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. previa coordinacion entre las partes.,entrega,0,bajo,,Obligacion de entrega determinada,Mexico
REF-0209,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. segun buena fe contractual.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Chile
REF-0210,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. salvo acuerdo expreso en contrario.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0211,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. segun buena fe contractual.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Espana
REF-0212,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. salvo acuerdo expreso en contrario.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Peru
REF-0213,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. respetando la normativa peruana vigente.,entrega,0,bajo,,Obligacion de entrega determinada,Mexico
REF-0214,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. previa coordinacion entre las partes.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0215,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. con notificacion escrita previa.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Mexico
REF-0216,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. respetando la normativa peruana vigente.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Mexico
REF-0217,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. segun buena fe contractual.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Mexico
REF-0218,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. salvo acuerdo expreso en contrario.,entrega,0,bajo,,Obligacion de entrega determinada,Chile
REF-0219,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. con notificacion escrita previa.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0220,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. segun buena fe contractual.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Mexico
REF-0221,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. previa coordinacion entre las partes.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Peru
REF-0222,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. salvo acuerdo expreso en contrario.,precio,0,bajo,,Precio determinado,Chile
REF-0223,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. con notificacion escrita previa.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Peru
REF-0224,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. salvo acuerdo expreso en contrario.,entrega,0,bajo,,Obligacion de entrega determinada,Colombia
REF-0225,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. salvo acuerdo expreso en contrario.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Colombia
REF-0226,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. salvo acuerdo expreso en contrario.,entrega,0,bajo,,Obligacion de entrega determinada,Colombia
REF-0227,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. respetando la normativa peruana vigente.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Peru
REF-0228,compraventa,La compra del software no incluye cesion de codigo fuente ni derechos de explotacion no pactados expresamente. segun buena fe contractual.,propiedad_intelectual,0,bajo,,Propiedad intelectual delimitada,Espana
REF-0229,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. respetando la normativa peruana vigente.,precio,0,bajo,,Precio determinado,Chile
REF-0230,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. segun buena fe contractual.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Peru
REF-0231,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. con notificacion escrita previa.,precio,0,bajo,,Precio determinado,Chile
REF-0232,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. previa coordinacion entre las partes.,precio,0,bajo,,Precio determinado,Chile
REF-0233,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. con notificacion escrita previa.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Mexico
REF-0234,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. segun buena fe contractual.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Espana
REF-0235,compraventa,El vendedor no asumira ninguna responsabilidad por defectos ocultos del bien incluso si los conocia. salvo acuerdo expreso en contrario.,garantia,1,critico,Art. 1398 CC,Exoneracion abusiva por defectos ocultos,Colombia
REF-0236,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. con notificacion escrita previa.,entrega,0,bajo,,Obligacion de entrega determinada,Espana
REF-0237,compraventa,El vendedor podra modificar unilateralmente las especificaciones del bien luego del pago completo. segun buena fe contractual.,modificacion_unilateral,1,alto,Art. 1362 CC,Cambio unilateral del objeto vendido,Chile
REF-0238,compraventa,La entrega del bien se realizara dentro de los diez dias calendario siguientes a la firma. segun buena fe contractual.,entrega,0,bajo,,Obligacion de entrega determinada,Espana
REF-0239,compraventa,El precio total se pagara en dos cuotas claramente identificadas en moneda nacional. respetando la normativa peruana vigente.,precio,0,bajo,,Precio determinado,Espana
REF-0240,compraventa,Cualquier controversia sera sometida exclusivamente a arbitraje ad hoc designado por el vendedor. salvo acuerdo expreso en contrario.,arbitraje,1,alto,Art. 1400 CC,Arbitraje impuesto sin equilibrio,Mexico
